Player,EVENTS_PLAYED,POINTS,POINT_RANKING,POINTS PER EVENT,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,ROUNDS_PLAYED,TOTAL_SG:PUTTING,AVG_Driving_DISTANCE,UP_AND_DOWN_%,BIRDIE_OR_BETTER,BIRDIE_OR_BETTER_PER_ROUND,MISSED_GIR,FAIRWAY_HIT_%,GIR_RANK,SAND_SAVE%,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,AVG_BALL_SPEED,AVG_SPIN_RATE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,AGE
Greg Chalmers,20,133,182,6.65,0,1,56,32.382,282.8,52.85,213,4.096153846,403,58.9,193,50.44,50,1.5,14,-2.055,-0.69,-1.192,-0.174,160.9,2213,72.531,3767,52,44
Matt Every,30,113,183,3.77,0,1,79,-22.207,294.2,52.51,251,3.346666667,478,55.5,145,48.84,53,3.63,49,-0.775,-0.437,-0.023,-0.314,169.1,2561,72.044,5379,75,33
Roberto Diaz,25,107,184,4.28,0,0,72,9.41,286.3,58.56,260,3.823529412,444,63.2,157,50,49,3.02,37,-1.001,-0.165,-0.6,-0.237,161.27,2780.2,71.731,4847,68,32
Conrad Shindler,20,92,185,4.60,0,0,60,-7.33,291.3,60,204,3.642857143,340,65.77,103,48.15,32,2.98,30,-0.146,0.114,-0.008,-0.252,169.76,3346.1,71.465,3952,56,30
Daniel Summerhays,19,89,186,4.68,0,1,51,27.96,287.1,54.86,192,4.266666667,350,54.69,194,52.44,38,1.48,12,-2.84,-0.977,-1.586,-0.277,162.06,2547.8,73.177,3261,45,34
Cameron Tringale,26,88,187,3.38,0,0,67,-5.292,289.3,55.24,216,3.428571429,391,51.99,117,52.81,32,3.79,43,-0.915,-1.351,0.348,0.088,164.74,2563.8,72.146,4525,63,33
Smylie Kaufman,22,74,188,3.36,0,1,49,-15.532,297.1,47.12,196,4.170212766,416,40.85,195,42.86,73,3.07,26,-3.586,-1.585,-1.504,-0.497,171.75,2484.2,74.891,3515,47,25
Billy Hurley III,27,73,189,2.70,0,0,70,1.414,284,54.93,234,3.65625,426,59.24,171,48.96,35,2.95,34,-0.727,-0.696,-0.17,0.139,161.67,2725.4,71.715,4565,64,36
Rod Pampling,20,64,190,3.20,0,0,62,-18.964,288.4,56.67,221,3.810344828,390,63.69,174,43.2,53,3.07,32,-0.673,-0.095,-0.415,-0.163,163.86,2719.1,72.445,4184,58,48
Matt Atkins,21,44,191,2.10,0,0,56,-7.912,301.4,57.6,197,3.788461538,342,57.5,164,45.65,35,3.63,34,-0.931,0.134,-1.039,-0.027,170.18,2527.8,72.251,3716,52,32
Padraig Harrington,16,29,192,1.81,0,0,46,-5.742,300.1,56.32,156,2.08,277,55.18,192,62.34,18,2.86,39,-0.882,-0.448,-0.663,0.23,169.6,2633.7,70.89,5329,75,47
Zecheng Dou,23,21,193,0.91,0,0,53,-24.01,291.9,51.56,165,3.367346939,320,54.76,158,46.51,30,4.88,43,-0.531,-0.079,-0.265,-0.187,165.76,2772.3,72.773,3546,49,21
Andrew Yun,22,16,194,0.73,0,0,51,-20.385,290.6,44.01,136,3.022222222,309,53.58,181,34.33,37,3.7,30,-1.336,-0.457,-0.447,-0.432,165.25,2727.1,73.624,3284,45,27
Kyle Thompson,22,10,195,0.45,0,0,50,-27.017,285.3,54.02,168,3.652173913,311,62.99,178,51.28,24,3.86,32,-0.512,-0.534,0.036,-0.014,158.42,2286.4,72.673,3311,46,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
